,description,poste,entreprise,localisation,ADRESSE,DATE DE PUBLICATION,scrap_timestamp,TYPE DE CONTRAT,SALAIRE
27,"Dans le cadre des interventions de notre division ""Développement Personnel & Managérial"", nous souhaitons faire appel à des formateurs / formatrices avec un minimum de 10 ans d'expérience professionnelle dont 2 ans (au moins) dans l'animation des formations.

Les sujets de maîtrise de l'intervenant(e) sélectionné(e) devraient être autour: Les méthodes agiles, les modes agiles et les cultures agiles, les organisations hybrides, ...

L'intervenant(e) sélectionné(e) bénéficiera de l'expérience et des approches pédagogiques de pointe développées par Trusted Advisors auprès de plus de 125 clients dans 25 pays.

Prière de nous soumettre votre CV incluant la liste de vos interventions afin de situer la pertinence de votre expérience par rapport aux projets que nous déploierons.
Lieu: Tunis
Type de contrat: Indépendant
Type d'interventions: Présentiel majoritairement
Taux journalier: à négocier selon les types des interventions","Formateurs expérimentés en ""Agilité"" (basés en Tunisie)",Trusted Advisors,"Tunis, Tunisie","
Tunis, Tunisie","
Il y a 30+ jours",2023-07-04 12:48:26.958280,,
28,"Cherchez-vous à avoir un impact? Êtes-vous quelqu'un qui aime la technologie et l'innovation?
Vous souhaitez faire partie d'une culture d'entreprise qui se développe à l’international et centrée sur les personnes, tout aussi créative que les solutions qu'elle propose à ses clients?
Vous êtes également passionné par les technologies logicielles et doté d’une bonne communication à l’oral et à l’écrit. Vous aimez travailler dans un contexte qui laisse une place importante à vos initiatives et votre créativité, vous savez vous montrer force de propositions. 
So this job is made for you ! Imagine new horizons… and join the SPARK TEAM ! 

En qualité d’ingénieur avant-vente, vous apportez un soutien important à l'équipe commerc iale dans le cadre des propositions de solutions et des réponses aux appels d’offres. Vous jouez ainsi un rôle déterminant dans le développement des affaires de Vneuron à l’échelle internationale.

Vous travaillez en collaboration avec les commerciaux, mais vous pouvez également être amené à collaborer avec les équipes techniques, pour analyser un besoin spécifique pour un client, ou encore le service marketing pour contribuer à la préparation de nos supports marketing. Vous êtes expert et au plus près des besoins de nos clients.

Votre journée sera rythmée : 

Analyser et qualifier les opportunités besoins fonctionnels et techniques de nos clients et prospects, comprendre et évaluer leurs enjeux et leurs contraintes afin de leur proposer les solutions les plus adaptées
Prendre en charge la partie technique des offres commerciales, techniques et budgétaires: concevoir et dimensionner les solutions, élaboration de schémas d’architecture et élaboration de contenus spécifiques au context
Effectuer des démonstrations et participer à la réalisation des Proof of Concept (POC) pour démontrer la pertinence de nos solutions auprès de nos clients et les rassurer tout en répondant à leurs questions
Assurer une veille technologique et concurrentielle pour maintenir la compétitivité de l’offre de Vneuron
Animer et maintenir une relation avec nos partenaires pour construire des offres conjointes et optimiser nos chances communes de succès
Utiliser ses connaissances techniques en IT afin de de générer le discours et les livrables les plus appropriés au projet  

Parlons de vous  : 

Issu d’une formation supérieure en informatique ou en TIC avec un bon background informatique et vous avez la capacité de vous informer d’une manière rapide et pertinente sur de nouveaux sujets 
Capacité d’assimilation et un esprit de synthèse qui vous permet de faire face à des situations nouvelles
Anticipation de risques et aptitude à trouver des solutions à des problèmes complexes
Vous êtes reconnu(e) pour votre aisance relationnelle, votre sens commercial et avez une excellente capacité d'expression ainsi qu'une capacité à convaincre sur des solutions orientées client.
Vous disposez d’une bonne qualité rédactionnelle avec de bonnes capacités de communication écrite et verbale en français et en anglais. 
Une expérience d’un 1 an à 3 ans dans un poste similaire de préférence dans le domaine du software, ou une expérience en tant que consultant IT

Next Steps

What are you waiting for? Join the winning team now, the spark team is waiting for you ! 

Pensez à visiter notre site web, à postuler via notre portail de recrutement et à personnaliser votre lettre de motivation ! N’hésitez pas à partager ce besoin autour de vous pour aider votre entourage à évoluer.",Junior Pre-sales Consultant,Vneuron,Tunis,"
Tunis,","
Il y a 30+ jours",2023-07-04 12:48:27.342660,,
29,"Aperçu:
Souhaitez-vous travailler dans un environnement innovatif et évolutif ?
 Rejoindre Teleperformance, c'est dire OUI à une expérience qui a du sens, celle où les rencontres et les missions vous poussent à grandir chaque jour. C’est évoluer dans un environnement de travail fondé sur la confiance, la transmission et l’intelligence collective pour construire l’avenir de nos clients et répondre à leurs besoins. Nous rejoindre, c’est aussi dire OUI à une entreprise Great Place to Work, attachée au bien-être, et à l’inclusion sans distinction de nos collaborateurs.
 Et si c’était vous ?
Passionné(e) de la langue française et maîtrisant aussi l’anglais.
Autonome et rigoureux (se), votre capacité relationnelle, votre esprit d'équipe ainsi que vos qualités d'analyse seront vos atouts pour réussir dans votre mission.
Et vous, prêts à dire YES à votre carrière chez TELEPERFORMANCE ?
Votre mission si vous l’acceptez !
·       Identifier et comprendre les besoins des clients et prendre en charge leurs demandes.
·       Tissez des liens solides avec tous les clients afin de renforcer la relation qu’ils entretiennent avec l’enseigne.
Nous vous garantissons :
Un CDI dès l’embauche et une formation produit rémunérée.
Le choix parmi deux régimes horaires de travail : 40H et 28H par semaine.
Un salaire fixe motivant complété par un 13ème mois et un système de primes attractif (prime sur objectifs mensuelle, prime de flexibilité mensuelle, bonus sur challenges).
De nombreux avantages voués au bien-être de nos collaborateurs : transport gratuit, tickets restaurant et assurance groupe, prime d’ancienneté, primes saisonnières (Ramadan, rentrée scolaire), fonds social (mariage, naissance, aides exceptionnelles, crédits à 0%), tarifs préférentiels auprès d’enseignes commerciales diverses.
Des opportunités d’évolution grâce à nos politiques de formation continue et gestion de carrières (95% de nos managers sont issus de la promotion interne).
TELEPERFORMANCE est une entreprise inclusive dont l’ambition est de recruter et de promouvoir des talents divers : toutes nos offres d'emploi sont ouvertes aux personnes en situation de handicap. 
ü  TELEPERFORMANCE est certifiée « Meilleur employeur en Tunisie / Best Places To Workin Tunisia » en 2018/2019/2020/2021.
ü  Fin 2019, TELEPERFORMANCE a réussi à se hisser au rang des meilleurs employeurs en Afrique dans le cadre du prestigieux programme BEST PLACES TO WORK in AFRICA en se positionnant 1ère dans notre secteur et 5ème dans le classement global.
Pour deux années consécutives, Teleperformance est aussi certifiée GREAT PLACE TO WORK EN 2021 et 2022.",Conseillers client bilingues (français/anglais),Teleperformance,Tunis,"
Tunis, 1002","
Il y a 30+ jours",2023-07-04 12:48:28.055253,,
30,"Aperçu:
TELEPERFORMANCE Tunisie ouvre ses portes aux Experts de l’expérience client et recrute des télévendeurs ! Alors si tu as un excellent niveau en français et tu es doté d’un fort sens commercial, rejoins-nous ! Ensemble, nous bâtirons ta carrière !
 Ta mission si tu l’acceptes :
Chasseur d’opportunités, tu proposeras de nouveaux produits et offres en conseillant à distance les clients et prospects. Tu contribueras ainsi à leur fidélisation.
Nous t’offrons :
Un contrat en CDI / CIVP dès l’embauche et une formation produit rémunérée.
Le choix parmi deux régimes horaires de travail : 40H et 28H par semaine.
Un salaire fixe attractif complété par un 13ème mois et un système de primes attractif (prime sur objectifs mensuelle, prime de flexibilité mensuelle, bonus sur challenges).
De nombreux avantages voués au bien-être de nos collaborateurs : transport gratuit, tickets restaurant et assurance groupe, prime d’ancienneté, primes saisonnières (Ramadan, rentrée scolaire), fonds social (mariage, naissance, aides exceptionnelles, crédits à 0%), tarifs préférentiels auprès d’enseignes commerciales diverses.
Des opportunités d’évolution grâce à nos politiques de formation continue et gestion de carrières (95% de nos managers sont issus de la promotion interne).
TELEPERFORMANCE est certifiée « Meilleur employeur en Tunisie / Best Places To Work in Tunisia » en tenant la 1ère place pour trois années consécutives 2018/2019/2020.
Fin 2019, TELEPERFORMANCE a réussi à se hisser au rang des meilleurs employeurs en Afrique dans le cadre du prestigieux programme BEST PLACES TO WORK in AFRICA en se positionnant 1ère dans notre secteur et 5ème dans le classement global.
TELEPERFORMANCE est une entreprise inclusive dont l’ambition est de recruter et de promouvoir des talents divers : toutes nos offres d'emploi sont ouvertes aux personnes en situation de handicap.
 ",Télévendeurs (Tunis),Teleperformance,Tunis,"
Tunis, 1002","
Il y a 30+ jours",2023-07-04 12:48:28.443283,,
31,"Who We Are
Peace is our commitment. The United States Institute of Peace represents the American people’s shared values and commitment to peace worldwide. We know that Peace is Security – it advances both U.S. and international security by preventing, managing, and mitigating violent conflict.
We are an independent, non-partisan institution and are actively engaged with peacebuilding efforts worldwide. Together we tackle the most challenging problems and hold fast to the possibility of a more peaceful world. To learn more about USIP programs and job openings, go to https://www.usip.org/about/careers.
If you have a passion for making the world a better place and want to have a front-row seat on the world stage, USIP is the place for you. 
Who We Are
Peace is our commitment. The United States Institute of Peace represents the American people’s shared values and commitment to peace worldwide. We know that Peace is Security – it advances both U.S. and international security by preventing, managing, and mitigating violent conflict.
We are an independent, non-partisan institution and are actively engaged with peacebuilding efforts worldwide. Together we tackle the most challenging problems and hold fast to the possibility of a more peaceful world. To learn more about USIP programs and job openings, go to https://www.usip.org/about/careers.
If you have a passion for making the world a better place and want to have a front-row seat on the world stage, USIP is the place for you. 
Job Brief
The Administrative Assistant, based in Tunis, provides administrative and logistical support to the MENA Senior Management Team. The administrative assistant is under the supervision of the MENA Program Specialist. This position is only open for Tunisian citizens and legal residents of Tunisia (Host country National – Personal Services Contractor position).
RESPONSIBILITIES
Coordinate, update, and maintain calendar and scheduling for the Senior Management Team’s meetings, teleconferences, appointments, and travel.
Take notes at weekly meetings and maintain records;
Monitor e-mail and other types of correspondence for action items; when possible, directs requests to the appropriate staff member for response’
Coordination of the information flow in the MENA team and internal communication to staff as required.
Track reporting deadlines for MENA projects and alert the relevant teams when deadlines are approaching
Maintain the MENA team's external contacts lists 
Keep MENA Program's external documents updated with relevant programmatic information
Coordinate the schedule of visitors to the MENA Hub during their stay
Submit to the finance team the invoices resulting from the Senior Management Team's trips and activities for review and payment;
Coordinate office activities and communications on behalf of the Senior Management Team
Coordinate the drafting and submission of the Hub internal and external periodic and ad-hoc reports
Take the lead in compiling the weekly Arab Media Digest
As assigned, attend internal and external meetings to gain knowledge of projects and plans and to follow through on all requests.
Performs other duties as assigned. 
Qualifications
Bachelor’s degree in international relations, communication, management, social science, or related field.
Two (2) or more years of related experience.
Experience supporting program administration and management in coordination with teams based abroad.
Strong time management skills with the ability to prioritize work and meet deadlines.
Demonstrated analytic, problem-solving, and writing skills in Arabic and English.
Must have strong collaboration skills; must have the ability to coordinate the input and priorities of multiple players.
Must have excellent interpersonal skills.
HOW TO APPLY
To be considered for this position, please submit a complete application package consisting of:
1.  Completed employment application including titles, dates of hire and salary requirements.
2.  Cover letter
3.  Resume
 For questions about this position please email
recruitment@usip.org
. Do not send resumes or attachments to this email address.
Only those applicants that are selected for further discussions will be contacted. 
No Phone Calls. Interviews will be scheduled by appointment only. 
USIP is an equal opportunity employer. It is the policy and practice of USIP to offer equal employment opportunities to all qualified applicants and employees without regard to race, color, age, religion, national origin, sex, marital status, disability, veteran status, sexual orientation, gender identity, genetic information, HIV/AIDS status, political affiliations or belief, pregnancy, or any other characteristic protected by law. 
See job description","Administrative Assistant, Tunisia",United States Institute of Peace,"Tunis, Tunis","
Tunis, Tunis","
Il y a 30+ jours",2023-07-04 12:48:29.040995,,
32,"ETeacher Group is an EdTech pioneer and innovator that has been on the cutting edge of educational technology since its foundation. Today our company has grown to over 1000 employees while we deliver high-quality live courses to over 50,000 students a year on our online Learning Platform. Our strategy is to continue on our path of innovation to deliver personalized, outcome-focused learning experiences, by leveraging AI technology and advanced teaching methodologies.
We are looking for Native French speakers for sales over the phone, speaking to potential students worldwide.
Applicants should demonstrate excellent verbal and written communication skills as well as exceptional listening skills. Courtesy and patience in customer relations are essential. But above all, applicants must be able to demonstrate strong persuasion and objection handling skills while maintaining a professional and positive attitude in order to better assist our customers.
Come join us and be a leader in our Global Sales Team.
We offer a competitive pay base and interesting commissions.
This is a home-office-based position.
Please send your resume in English! Only English CVs will be taken into consideration.
Requirements:
Mother tongue level French.
2+ years in a sales over the phone - a must
Good communicator.
Good technical base.
Good home office working environment (quiet space, Microsoft System PC, high-speed internet connection, ability to activate webcam at all times).
5 shifts per week, flexible to work morning and evening shifts and weekend days.",Sales Representative,eTeacher Group,Tunis(TÉLÉTRAVAIL),"
Tunis, (TÉLÉTRAVAIL)","
Il y a 30+ jours",2023-07-04 12:48:29.456142,,
33,"Educational Consultant - GOMYCODE Tunisia
Tunis
Full-time

Company Description - About us
We are building the future of digital learning in the African continent.
For us it is key to excel in everything that we do, and this starts with the people that we hire.
GoMyCode is an educational platform that trains top talents on the newest skills and connects them with digital opportunities around the world.
At GoMyCode, we provide high-end education on cutting-edge technologies with a focus on projects in an environment that leaves lasting impressions and positively impacts our student lives.

Job Description
Answer to calls as if it’s your first and last chance to sell our products and services.
Make outbound customer calls to promote and sell a product or service.
Advisor and listen to the student's training plan by asking the right questions.
Understands their needs and offers them the Go My Code training that best meets their expectations.
Provide after sales service by working with different departments to find solutions to student complaints.
Ensure customer meetings, customer reminders by email and phone and renewal of registrations.
Enter customer data and notes correctly on the CRM.
Can be involved in marketing activities (conferences, lives ...).
Reach monthly sales goals by working effectively on all types of leads.
Encourage students and instructors to share their feedback with you so that we can progress and help them to progress.
Up sell and Cross Sell our products.

Qualifications
The Educational Consultant should:
Be a GMC Ambassador.
Be a Community Builder.
Be an Excellent Communicator.
Be Honest.
Be Proactive.
Be a mediator - knowing how to resolve customer conflicts and dissatisfaction.
Know exactly what he is selling.
Know how to advise the client effectively.
Know how to enhance the quality of customer service.
Master the way he explains to the customer the GMC learning method and the concept of active learning.
Able to work well as part of the whole team and independently.
Able to establish priorities between calls and leads.
Aware that he is the First GoMyConter that the student or lead meet or have on phone
Have Positive attitude and willingness to learn.
Must have basic computer skills
Have basic math skills to be capable of counting money and making change
Small Smiles are not accepted. Bring your big smile.

Required education and experience
You have a university degree from a top school.
You have gained 01 years work experience in a top start-up.
Customer Support or Sales Experience preferred

Our Offer:
You will join a world-class team, determined to disrupt our industry.
You will feel the excitement of building a start-up and making decisions impacting the whole team.",Sales Representative (Tunisia),GOMYCODE,"Tunis, Tunis","
Tunis, Tunis 1053","
Il y a 30+ jours",2023-07-04 12:48:29.862386,,
34,"KPMGaccompagne les sociétés et les groupes nationaux et internationaux dans le cadre de missions d'audit, de conseil et de transformation digitale.

Nos clients bénéficient d’un savoir-faire fiscal, financier et industriel ainsi que d’une puissance de digitalisation et d’automatisation pour accompagner leurs transformations et tirer profit des technologies les plus récentes.
KPMG Tech Maghrebporte les activités de transformation DIGITALE et axe ses offres de services autour des enjeux majeurs des entreprises:

Excellence opérationnelle& Pilotage par laperformance:Nous coconstruisons avec nos clients la vision et l’organisation de leurs entreprises et de leurs processus ainsi que les moyens de pérennisation et d’amélioration continue des performances opérationnelles et financières.
Digitalisation & automatisation:Nous accompagnons nos clients dans le déploiement des technologies de nouvelle génération qui leurs permettent de renforcer leurs équipes de première ligne, automatiser leurs processus et capitaliser sur la donnée et en faire une source de prise de décision éclairée.
Dans le cadre de développement de nos activités « Tech Solutions » autour de l’offre Microsoft Dynamics 365 Finance & Operations, nous recrutons un Consultant Business Central - Comptabilité Finance
Pourquoi nous rejoindre ?
Intégrer KPMG, c'est choisir un métier enrichissant au cœur des enjeux des entreprises. C'est se voir offrir une multiplicité d'opportunités de carrière dans l'audit, le conseil, l'expertise comptable, les systèmes d'information… C'est se voir confier des responsabilités concrètes et immédiates. C'est aussi développer ses connaissances et compétences, à travers plusieurs formations métiers, technologiques et managériales, pour être toujours à la pointe de l'actualité économique, financière, industrielle et technologique. Autant d'atouts pour construire son capital professionnel et participer aux enjeux de la société.


Vos principales missions seront :
Vous aurez à réaliser des missions de déploiement et de Build autour de Dynamics 365 BC et ce en relation directe avec le client et en couvrant l’ensemble des phases projet :
Réaliser des missions de cadrage et d'analyse des besoins clients dans les modules comptabilité et finance
Réaliser les documents d'analyses et de conceptions
Réaliser le paramétrage et les tests
Accompagner le client dans la recette applicative
Réaliser la formation et l’assistance aux utilisateurs
Votre profil :
Une expérience minimale de 5 ans autour de D365 BC (ou Dynamics NAV)
Aptitudes au travail d’équipe, rigueur, autonomie, esprit d’initiative, excellent relationnel, ouverture d’esprit, sens de l’écoute, esprit de synthèse
Disposant de connaissances solides dans les domaines de la finance et comptabilité
Initié à la platform Power-Platform (Power Apps, Power Automate).",Consultant Business Central - Comptabilité Finance,SPX,"Tunis, Lac 3","
Tunis, Lac 3 1074","
Il y a 30+ jours",2023-07-04 12:48:30.270987,,
35,"KPMG accompagne les sociétés et les groupes mondiaux dans le cadre de missions d'audit, de conseil et de transformation digitale.
La data et les technologies représentent aujourd’hui des leviers majeurs d’accélération pour nos clients de tous secteurs. Avec l’ensemble de nos talents au background Financier, industriel et technologique, nous sommes en capacité de les accompagner dans toutes leurs transformations, avec des interventions à impact immédiat et concret.

Qu’il s’agisse de la définition d’un plan de transformation numérique, de l’évaluation des risques cyber et de la sécurisation de l’écosystème numérique, de la mise en place de solutions cloud, de plateformes d’Analytics et d’IA, de la redéfinition du parcours client, de la définition de plan d’actions pour atteindre des objectifs environnementaux, les aspects tech sont présents partout. Par la diversité des compétences de ses collaborateurs (sectorielle, fonctionnelle, tech, data, risque, change, juridique, …) mais aussi par sa capacité à les assembler, KPMG offre aujourd’hui un environnement unique pour évoluer en accéléré, sur un large éventail de missions, pour des entreprises de toute taille et tout secteur.
Pourquoi nous rejoindre ?
Intégrer KPMG, c'est choisir un métier enrichissant au cœur des enjeux des entreprises. C'est se voir offrir une multiplicité d'opportunités de carrière dans l'audit, le conseil, l'expertise comptable, les systèmes d'information… C'est se voir confier des responsabilités concrètes et immédiates. C'est aussi développer ses connaissances et compétences, à travers plusieurs formations métiers, technologiques et managériales, pour être toujours à la pointe de l'actualité économique, financière, industrielle et technologique. Autant d'atouts pour construire son capital professionnel et participer aux enjeux de la société.",Candidature spontanée,SPX,"Tunis, Lac 3","
Tunis, Lac 3 1074","
Il y a 30+ jours",2023-07-04 12:48:30.677507,,
36,"Company Description

Jobs for Humanity is dedicated to building an inclusive and just employment ecosystem. Therefore, we have dedicated this job posting to individuals coming from the following communities: Refugee, Neurodivergent, Single Parent, Blind or Low Vision, Deaf or hard of hearding, Black, Hispanic, Asian, Military Veterans, the Elderly, the LGBTQ, and Justice Impacted individuals. If you identify with any of the following communities do not hesitate to register.

Company Name: FIS GlobalJob Description

Position Type :
Full time
Type Of Hire :
Experienced (relevant combo of work and education)
Travel Percentage :
0%
We are FIS. Our technology powers the world’s economy and our teams bring innovation to life. We champion diversity to deliver the best products and solutions for our colleagues, clients and communities. If you’re ready to start learning, growing and making an impact with a career in fintech, we’d like to know: Are you FIS?
About the team:
Valdi is a suite of global multi-asset trading solutions for listed equities, derivatives, commodities and fixed income instruments that provides access to trading venues around the world.
The Client Support team is the primary liaison, building relationships with customers and supporting their requests and incidents on all valdi solutions.
What you will be doing:
You will be part of one of our most important client-facing support teams, that serve our major client base in Europe, Middle East and Africa.
You will be responsible for finding solutions to our client’s functional and technical issues and for managing these issues through to resolution.
Acknowledge, qualify and treat clients’ concerns raised through the available communication channels (emails, phone, Ticketing system)
Troubleshooting and Debugging of FrontEnd to BackEnd applications using various technologies and tools
Coordinate inter-departmental resources and liaise closely with clients at all levels
Work alongside the Client Services Managers, Sales Account Managers and other DEV/Support teams
Gain an in-depth knowledge of the products and the detailed configurations to better serve our clients
What you bring:
Good technical diagnostic, analytic and problem-solving skills
Understanding of Client / Server Application model and API concept.
Linux, Shell scripting & Network understanding such as FTP, SSH, TCP/IP
High communication skills in English (Written and verbal) – Mandatory
Effective communication and relationship-building skills.
The ability to work effectively within local and distributed teams
The ability to multi-task and work well under pressure, providing timely and accurate solutions to numerous clients’ needs
Shift work required including weekend and public holidays
Added bonus if you have:
Service management knowledge (ITIL v3/v4, PMP)
Capital Markets and Trading platforms experience
 What we offer you:
At FIS, we are as committed to growing our employees’ careers as our own business. We offer:
An attractive salary package and other bonuses as performance bonus, meals vouchers, transportation….
Attractive range of benefits including private medical cover, dental cover, and travel insurance.
Continuous development through our diversified training across core financial, sales and FIS solutions.
A modern, international work environment and a dedicated and motivated, supportive team.
A broad range of professional development possibilities, resources and opportunities.
#LI-AG1
#LI-Hybrid
Privacy Statement
FIS is committed to protecting the privacy and security of all personal information that we process in order to provide services to our clients. For specific information on how FIS protects personal information online, please see the Online Privacy Notice.
Sourcing Model
Recruitment at FIS works primarily on a direct sourcing model; a relatively small portion of our hiring is through recruitment agencies. FIS does not accept resumes from recruitment agencies which are not on the preferred supplier list and is not responsible for any related fees for resumes submitted to job postings, our employees, or any other part of our company.
#pridepass",Technical Support Engineer II,Jobs for Humanity,Ariana,"
Ariana,","
Il y a 25 jours",2023-07-04 12:48:31.114915,,
37,"Company Description

Jobs for Humanity is dedicated to building an inclusive and just employment ecosystem. Therefore, we have dedicated this job posting to individuals coming from the following communities: Refugee, Neurodivergent, Single Parent, Blind or Low Vision, Deaf or hard of hearding, Black, Hispanic, Asian, Military Veterans, the Elderly, the LGBTQ, and Justice Impacted individuals. If you identify with any of the following communities do not hesitate to register.

Company Name: FIS GlobalJob Description

Position Type :
Full time
Type Of Hire :
Experienced (relevant combo of work and education)
Education Desired :
Bachelor of Computer Science
Travel Percentage :
0%
Are you curious, motivated, and forward-thinking? At FIS you’ll have the opportunity to work on some of the most challenging and relevant issues in financial services and technology. Our talented people empower us, and we believe in being part of a team that is open, collaborative, entrepreneurial, passionate and above all, fun.
About the team:
The Client Experience (CX) team is responsible for delivering world best class services to our clients.  
Whilst gaining a detailed understanding of Fixed Income Securities, the CX team is responsible for optimizing our clients’ experience by efficiently managing client issues and stabilizing operational aspects by continuously working on innovative improvement. 
You will build relationships with Tier-1 banks and brokers to support them with their clients’ trading activity
You will be exposed to a broad cross-section of the financial industry 
You will gain in-depth knowledge of exchange technologies and markets 


What you will be doing:
• Handle customer inquiries and resolving support issues such as address changes, processing orders, warranty, or billing and payment.
• Provide in-depth product support and researching client issues.
• Troubleshoot problems with equipment or software applications and recommend corrective action.
• Document customer information and recurring technical issues to support product quality programs and product development.

What you will need:
Broad knowledge of Financial Markets, especially Fixed Income Securities. 
Knowledge of basic IT technologies, i.e., operating systems, network devices, software development and architecture 
Excellent customer service skills that build high levels of customer satisfaction for internal and external clients 
Being able to provide proactive support and actions to remediate client issues in a timely manner. 
Excellent verbal and written communication skills to technical and non-technical audiences of various levels in the organization, e.g., executive, management, individual contributors 
Willingly shares relevant technical and/or industry knowledge and expertise to other resources 
Excellent decision-making and problem-solving. 
Is resourceful and proactive in gathering information and sharing ideas 
Ability to work both independently and in a team environment 


What we offer you:
At FIS, we hire the best. In return, you receive exceptional benefits including:
• Opportunities to innovate in fintech
• Tools for personal and professional growth
• Inclusive and diverse work environment
• Resources to invest in your community
• Competitive salary and benefits
#LI-AG1
#LI-Hybrid
Privacy Statement
FIS is committed to protecting the privacy and security of all personal information that we process in order to provide services to our clients. For specific information on how FIS protects personal information online, please see the Online Privacy Notice.
Sourcing Model
Recruitment at FIS works primarily on a direct sourcing model; a relatively small portion of our hiring is through recruitment agencies. FIS does not accept resumes from recruitment agencies which are not on the preferred supplier list and is not responsible for any related fees for resumes submitted to job postings, our employees, or any other part of our company.
#pridepass",Product Support Representative III,Jobs for Humanity,Ariana,"
Ariana,","
Il y a 27 jours",2023-07-04 12:48:31.547106,,
38,"ADP Tunisia is hiring an Implementation Consultant to join our team !
Are you ready for your next best job where you can achieve that perfect work-life balance you've been searching for?
Are you ready to grow your career with a formal career path at an established, respected, global leader?
Are you looking to join a dynamic, inclusive team environment with a culture of collaboration and belonging?
Yes? We had a feeling this could be a perfect match. Don't just take our word for it... read on and see for yourself!

JOB RESPONSIBILITIES:
Analysis & Consultation:
Implement the client's solution using ADP's Implementation Methodology and the ADP eTIME.
Perform blueprinting workshops to gather information on the client's requirements.
Design and document the client's solution including their business requirements and any program specifications required according to ADP's documentation guidelines.
Take ownership of issues & gaps between client requirement and ADP eTIME and work with other teams/streams/areas to resolve them.

Integration & Testing:
Liaise with clients throughout the data cleansing, mapping and conversion phase and provide any assistance required including reconciliation.
Being able to support training delivery and when required update training manuals, preparing training systems and conducting training sessions.
Provide guidance in preparing test scripts to enable clients to adequately test the solution.
Support clients through the User Acceptance, Parallel Testing and Go-Live phases.
Responsible for achieving estimated days as per fixed price strategy.
Ensure that all deliverables are created on time and accurately as per project schedule, such as Blueprints, specifications, BP reviews, Configuration Audits and configuration documentation.
Ensure timely handover to client services following ADP handover methodology.
Product Knowledge:
Possess the highest level of HR and time management knowledge and the necessary competencies to deliver the maximum value to ADP's clients.
Maintain up to date knowledge of the eTIME Product, related news and any developments to the product.
Maintain up to date knowledge of the eTIME product.
Liaise with the Product Manager to provide feedback on the product to understand future product direction/ changes.
Provide assistance and liaise with the Product Manager & Project teams to propose and deploy new enhancements.
Project Planning / Management Activities:
Minimize ADP's exposure to risk while focusing on appropriate application of the eTIME product to maximize value to the client.
Demonstrate proactive participation in Implementation Team forums, contribute and participate in knowledge sharing and team development sessions. Seek to act as a mentor and actively support fellow team members in an effort to develop their respective skills.
Liaise with the ADP Project Manager assigned to the project and Line Manager, providing regular status updates and early warning of any slippage / problems that may occur.
Escalate project issues to Project Manager including scope variations, task slippages and risks that may arise during the project.
Provide relevant training and knowledge sharing opportunities for members of the Implementation Team, this can include informal on-the-job training to facilitating formal training courses.
Demonstrate and apply knowledge of key implementation strategies such as the ADP implementation methodology.
Knowledge of support methodologies including usage of an Issue tracking process.
Keep clients blueprints, configuration worksheets, client specific configuration documentation and training material if any up to date.
Liaise with internal groups including TSG, Hosting, Client Services, Project Management and Product Management to ensure that client's receive the highest levels of client service.
Provide pre-sales support including analyzing and providing answer for tender documentation, performing demonstrations and attending any workshops where specialist knowledge of payroll is required.
Perform Quality Assurance reviews on blueprints and configuration of the client's system.
Other:
Performs other related duties as assigned.


REQUIREMENTS :
Technical Skills:
Good Knowledge in Database (SQL, NoSQL, BO, etc...)
Good Knowledge in XML, Html;
Ability to use tools such as Microsoft Excel, Word, PowerPoint, Project and Visio to effectively update and maintain documentation/ training/ demonstrations;
Excellent Fluent English, German
Skills & Abilities:
Professional manner and presentation and ability to professionally set, manage and satisfy customer expectations through personal involvement or delegation;
Teamwork, work collaboratively with others to achieve group goals, working together to accomplish business results;
Excellent written and verbal communication skills;
Analytical thinking problem solving skills -- work systematically and logically to resolve problems, address opportunities or manage the situation at hand, identify causes, relationships and implications;
Consulting skills, understand business requirements and mapping to ensure consistency to ADP template, while minimizing risk to both client and ADP.
Methodologies : demonstrate knowledge and application of key methodologies employed by Implementation team and Project implementation methodology.
Ability to prioritize tasks and time management skills, ability to work across various projects, ability to lead a team of consultants to effectively implement a solution.
Strong knowledge of one or more Time Management product configuration and design.
Ability to use tools such as Microsoft Excel, Word, PowerPoint, Project and Visio to effectively update and maintain documentation / training / demonstrations.
Client focused, demonstrate concern for meeting and exceeding immediate and future needs of clients.
Good business process knowledge of HRIS Impliemntation.
Developing: Resolves Variety of Issues.
 Explore our COVID-19 page https://jobs.adp.com/covid19/ to understand how ADP is approaching safety, travel, the hiring interview process, and more.
Diversity, Equity, Inclusion & Equal Employment Opportunity at ADP: ADP affirms that inequality is detrimental to our associates, our clients, and the communities we serve. Our goal is to impact lasting change through our actions. Together, we unite for equality and equity. ADP is committed to equal employment opportunities regardless of any protected characteristic, including race, color, genetic information, creed, national origin, religion, sex, affectional or sexual orientation, gender identity or expression, lawful alien status, ancestry, age, marital status, or protected veteran status and will not discriminate against anyone on the basis of a disability. We support an inclusive workplace where associates excel based on personal merit, qualifications, experience, ability, and job performance.
Ethics at ADP: ADP has a long, proud history of conducting business with the highest ethical standards and full compliance with all applicable laws. We also expect our people to uphold our values with the highest level of integrity and behave in a manner that fosters an honest and respectful workplace. Click https://jobs.adp.com/life-at-adp/ to learn more about ADP’s culture and our full set of values.",Consultant mise en place,ADP,"Tunis, Tunis","
Avenue Zohra Faiza
Tunis, Tunis 1003","
Il y a 4 jours",2023-07-04 12:48:32.578155,"
Temps Plein","
1 $US–1 000 000 $US Par An"
